,consPorc,consVita,consumOaieSiCapra,consPasareDeCurte
Bulgaria,-1.8305614163298924,-1.1171251280312573,-0.1695317210157382,-0.3134032928089244
Czech Republic,0.6467598694919487,-0.7971564739628987,-0.7160817469769236,0.2249741479499744
Denmark,0.8979567830892682,1.1866491812609254,-0.3744879807511828,-0.5240727261493632
Germany,1.4263364978974233,-0.24254414024441032,-0.5452848638640533,-0.840076876160021
Estonia,-1.076970675537934,-0.17855040943073844,-0.6136036171092014,-0.6294074428195823
Ireland,-0.21077442175407307,0.8986773925994023,0.8552495776614845,0.3771242942514019
Greece,-1.0423228253865793,0.28007132806724244,3.895434097070578,-1.0624501669082618
Spain,1.8854205124028691,-0.06122856960567361,0.7527714477937623,0.5409782979606322
France,-0.6438725486460036,1.218646046667761,0.34285892832287307,-0.1846608613231007
Croatia,-1.0596467504622569,-0.7331627431492269,-0.40864735737375685,-1.1560810261706789
Italy,0.4821825812730154,0.9093430144016811,-0.3061692275060346,-0.8049653039366145
Cyprus,0.05774641691892322,-1.042465775415307,1.811712123093559,0.4590512961060173
Latvia,-0.6871823613351967,-0.7544939867537841,-0.6819223703543495,-0.2548840057699137
Lithuania,0.45619669365949916,-0.8611502047765703,-0.7160817469769236,0.2600857201733805
Luxembourg,0.551478281575724,3.0211361312528484,-0.20369109763831234,2.0039604739359
Hungary,0.6987316447189805,-1.1917844806472078,-0.7502411235994977,0.5643860127762365
Malta,-0.20211245921623494,0.5893743603333224,-0.34032860412860866,0.20156643313436978
Netherlands,-1.6140123528839274,-1.2664438332631582,-0.06705359114801593,3.7712429425140237
Austria,2.327180601832638,0.2480744626604065,-0.44280673399633097,-0.605999728003978
Poland,1.0452101462325247,-1.1491219934380934,-0.7844005002220719,-0.27829172058551793
Portugal,0.5168304314243697,0.3014025716717996,0.24038079845515087,0.3186050072123912
Romania,-0.6265486235703265,-0.8291533393697346,0.06958391534228041,-0.39533029466353936
Slovenia,0.16168996737298671,0.6320368475424367,-0.40864735737375685,-0.32510715021672676
Slovakia,-0.522605073116263,-0.9998032882061926,-0.7502411235994977,-0.5474804409649674
Finland,-0.4273234852000382,0.33339943707863556,-0.6136036171092014,-0.6411113002273846
Sweden,-0.23676030936758924,0.9093430144016811,-0.3744879807511828,-0.9220038780146359
United Kingdom,-0.9730271250838707,0.6960305783561086,1.2993214737549474,0.7633515887088728
