,U1,U2,U3,U4
consPorc,0.5079817379445822,0.7240197501251262,-0.5046511298169922,0.24937604019306622
consVita,-0.4874050239530228,-0.06889366723764068,-0.5870142597339647,0.5791164411576563
consumOaieSiCapra,-0.7250743855993104,0.7073674386246638,0.23495542225647825,-0.0994090401482253
consPasareDeCurte,0.07114661950366113,0.0003701960863552991,0.5889148333854989,0.769775019661802
